Date,Close,High,Low,Open,Volume
2008-01-02,103.49561309814453,104.9666839620065,102.74580880731034,104.63818965932995,204935600
2008-01-03,103.44561004638672,103.89550124589073,102.88146993129467,103.48131759968973,125133300
2008-01-04,100.91053771972656,102.43159031178487,100.62489905384159,102.3601751971053,232330900
2008-01-07,100.82483673095703,101.56750371489697,100.04646219377426,101.26757988120495,234991000
2008-01-08,99.19670867919922,102.04599158523737,98.86107717002179,101.46042890516186,326365700
2008-01-09,100.23930358886719,100.53922754290402,98.33263716193463,99.32524652044454,301824900
2008-01-10,100.89624786376953,101.97455720504519,99.52516271721157,99.74653430752439,335701200
2008-01-11,100.08222961425781,101.33191858644796,99.26100979110211,100.53212113110166,267076600
2008-01-14,100.88910675048828,101.30329040814931,100.26068866349696,100.80341733732244,170365500
2008-01-15,98.6682357788086,101.03907800066956,98.47542369536421,99.82508648664266,239940100
2008-01-16,97.81846618652344,99.34665617385471,97.31859299373626,98.08983058964435,378802600
2008-01-17,95.28337860107422,98.46116636377207,94.92632477573002,98.41117359794323,397892600
2008-01-18,94.3050537109375,96.41881713132624,93.61951647478077,96.2188678627457,348561500
2008-01-22,93.34814453125,94.56926240154692,89.97755585298054,90.84162537841858,435923700
2008-01-23,95.59046173095703,95.82611859080123,90.57742238613321,90.75594931967404,511913000
2008-01-24,96.39736938476562,96.73300076071742,95.19766319284082,96.03316760858834,259949300
2008-01-25,95.00482940673828,97.6613094067459,94.69063135100181,97.48278258360781,269603900
2008-01-28,96.57591247558594,96.77586172510009,94.30504471836558,95.16197163005715,217934600
2008-01-29,97.05435943603516,97.43997271742154,96.31882953351905,97.19004161354295,168968300
2008-01-30,96.34025573730469,98.93245882980524,96.11888413207028,96.8187065058732,334939200
2008-01-31,98.09696960449219,98.93247429180349,95.11914185338212,95.26196121168499,343680800
2008-02-01,99.67513275146484,99.69655510616876,98.20407294757507,98.50399680984631,206843600
2008-02-04,98.41830444335938,99.47518053062551,98.28975942256943,99.4109134684386,124694300
2008-02-05,95.78326416015625,97.2971689162563,95.45476984131774,97.07579728453429,286882500
2008-02-06,95.01201629638672,96.58305080299303,94.55498787816639,96.1046000289512,250792900
2008-02-07,95.64041900634766,96.25455193562252,94.06938457456113,94.11937733337508,297368100
2008-02-08,95.02632904052734,95.847548642144,94.3336436110927,95.04060335093412,221643500
2008-02-11,95.51185607910156,95.85462454898787,94.2907277415376,95.04769066980579,188576300
2008-02-12,96.39736938476562,97.33998556032115,95.67611388067496,96.34023948072968,256654400
2008-02-13,97.38285827636719,97.8755943060493,96.50450890403977,97.12577908246426,181967800
2008-02-14,96.52593231201172,97.83275065386344,96.25456791093546,97.79704309112947,215207200
2008-02-15,96.50450897216797,96.56163889267764,95.62615959922049,96.04748050450883,154110300
2008-02-19,96.77586364746094,97.75418755890408,96.12602312542309,97.63279057617454,145190000
2008-02-20,97.06150817871094,97.51139947439597,95.51903307614892,95.68328567717478,220085700
2008-02-21,96.2545394897461,97.83985891855444,95.74039214457926,97.58992784605064,201051200
2008-02-22,96.8473129272461,97.0115655947851,94.87637898457744,96.38314713635937,205491000
2008-02-25,98.06838989257812,98.29689863951381,96.24741348412591,96.79013129246246,190107000
2008-02-26,98.80388641357422,99.22520710522076,97.47564640039366,97.65417322530281,212420700
2008-02-27,98.70397186279297,99.36094967048669,98.12554634169413,98.23265814322382,168395800
2008-02-28,97.73988342285156,98.51826882644431,97.51137470445381,98.00411058953065,170831100
2008-02-29,95.56190490722656,96.89013486961338,94.81922674078665,96.8330158381207,252715200
2008-03-03,95.33338928222656,95.55476095211388,94.43361739598194,95.07631004381095,189483500
2008-03-04,94.96917724609375,95.26195309191301,93.54096199196361,94.426448475817,282513100
2008-03-05,95.56904602050781,96.24030908075608,94.50502149985685,95.27625921398761,270681400
2008-03-06,93.5909423828125,95.13341744807232,93.22675142146677,94.96202769757096,247911700
2008-03-07,92.62690734863281,94.07654499503705,91.81996222361505,92.66975206386952,326434600
2008-03-10,91.40576934814453,92.78399173381695,91.11298262806122,92.71972466738407,235683600
2008-03-11,94.69066619873047,94.77635561851986,92.08416708383228,93.3481405078085,341440600
2008-03-12,93.80520629882812,95.52620880837962,93.66238691011144,94.79067860488881,229161100
2008-03-13,94.01226043701172,94.7192308781239,91.83424099139182,92.55548573897055,351504200
2008-03-14,92.55546569824219,94.84060732607006,91.24864777598091,94.81204782290368,484687800
2008-03-17,91.62000274658203,92.30553990682256,90.02754047980623,90.38459426221972,405311100
2008-03-18,95.42621612548828,95.46906084437002,92.81971646385477,93.27674495929134,334416600
2008-03-19,93.06251525878906,96.15459183034199,92.86255508976285,95.790400847324,345971600
2008-03-20,94.7862548828125,95.38189967400642,92.76249708981443,93.3294409894242,245320700
2008-03-24,96.68084716796875,97.46307525884153,95.61873879915245,95.66896810526485,208977300
2008-03-25,96.774169921875,97.27651786809595,95.99911411183528,96.78134241026247,192947200
2008-03-26,95.59001159667969,96.94635594888274,95.5254263776127,96.49424846505458,196934300
2008-03-27,95.28863525390625,96.47992524436489,94.98722651241002,96.30768698478292,225153200
2008-03-28,94.377197265625,95.70484077765502,94.0542602074003,95.4393164553929,180896100
2008-03-31,94.70735168457031,95.25275644604243,94.07582231312412,94.21934872926272,166692100
2008-04-01,98.03722381591797,98.20227866195201,95.81252583741548,95.88429452718574,254547300
2008-04-02,98.10179901123047,98.79791361926587,97.58509515886679,98.3529784493163,210910800
2008-04-03,98.34577178955078,98.63283550106246,97.3913164310621,97.57072714437156,175884800
2008-04-04,98.2381591796875,99.0060425189286,97.68557095100513,98.40321401929137,204446800
2008-04-07,98.28838348388672,99.44378907414874,98.13050115848229,98.94143024766423,154245500
2008-04-08,98.18791198730469,98.25966971085373,97.56355518529108,97.73579343246074,148937300
2008-04-09,97.47748565673828,98.17360049737351,96.8028992379481,98.03724652544352,195610600
2008-04-10,97.61378479003906,98.08024826844898,96.8100173413615,97.18319469430605,192967800
2008-04-11,95.71924591064453,96.96793797114185,95.453710501505,96.51583023733245,222973300
2008-04-14,95.3962631225586,95.8340257189348,95.12356627343144,95.58285728025554,160522000
2008-04-15,95.6187515258789,95.941688666433,94.96569380696926,95.86274750315422,172389200
2008-04-16,98.20944213867188,98.25249896363627,96.53733275025961,96.55167772500614,189268900
2008-04-17,98.35298156738281,98.49650798639769,97.35545817223822,97.61381010661054,179665700
2008-04-18,99.37918853759766,100.15424420556941,99.22130621910182,99.70930909909676,218530600
2008-04-21,99.42945098876953,99.73803225719541,98.92710302251554,99.19979994684519,118587400
2008-04-22,98.99166870117188,99.25719308433429,98.24531391283536,99.1710794358194,162166000
2008-04-23,98.83378601074219,99.59448577075798,98.40319586904613,99.09931039291618,193309000
2008-04-24,99.26436614990234,100.28341770217693,98.3457732101568,99.09212792050735,229381300
2008-04-25,100.18297576904297,100.39108743872504,98.97015724300738,100.03943839644668,190788100
2008-04-28,100.20451354980469,100.64944878541661,100.02510276765601,100.38392433195338,105610200
2008-04-29,99.80977630615234,100.27623981315801,99.47248326556854,100.03224385412003,125514100
2008-04-30,99.2213134765625,100.89342291721933,99.22131347656249,99.96048486251274,208395900
2008-05-01,101.27374267578125,101.27374267578125,99.22846738224479,99.3074085237724,187279500
2008-05-02,101.55365753173828,102.17083095305806,100.87189886815976,102.14930253897182,181585500
2008-05-05,101.06565856933594,101.62541919766772,100.7642498425698,101.22354089531285,118504500
2008-05-06,101.9411849975586,102.04882706177206,100.24754716830392,100.4843706599361,179339800
2008-05-07,100.12554931640625,101.93400169985424,99.84566899870389,101.82635963549279,199267300
2008-05-08,99.86719512939453,100.69966357597472,99.73801370475026,100.28342935268462,178321200
2008-05-09,99.68062591552734,100.03227498973133,99.35768869859493,99.46534173781579,152588200
2008-05-12,100.80013275146484,100.87189047566103,99.55860257384916,99.93177997090118,147865900
2008-05-13,100.81448364257812,101.10871989502856,100.27625140288913,101.04413465435299,159132200
2008-05-14,101.0225830078125,102.04880698596959,100.80011548529512,101.23787804424755,181910800
2008-05-15,102.28561401367188,102.35738266441783,101.06562360350162,101.21632243956596,166927000
2008-05-16,102.37895965576172,102.52965856334355,101.62543226676102,102.52248607500856,204236800
2008-05-19,102.6588134765625,103.5558670529911,102.12058133070533,102.48657524775822,165664400
2008-05-20,101.82633972167969,102.149276801971,101.18763804719762,102.09904749854635,178552100
2008-05-21,100.10401916503906,101.99141267969483,99.75237017696102,101.76894511696966,252724800
2008-05-22,100.11837005615234,100.59201705983168,99.75237607168908,100.06095730264306,170820400
2008-05-23,98.77638244628906,100.22602437773726,98.69026879008767,99.7882617081082,181376400
2008-05-27,99.5083999633789,99.7523960017704,98.69745971478721,98.8912264277994,168322900
2008-05-28,99.96769714355469,100.4700451793784,99.034758819673,99.87440002605675,181288100
2008-05-29,100.47004699707031,101.13744991023226,99.80981657370492,99.84570092341995,173927200
2008-05-30,100.72118377685547,101.00106406534417,100.42694756449617,100.80729741935616,117362000
2008-06-02,99.68062591552734,100.36956813529955,99.03475148166252,100.3480397175284,181069900
2008-06-03,99.09932708740234,100.19732008829914,98.48215362052747,99.96768000430785,271965700
2008-06-04,99.04908752441406,99.86720008656239,98.6472092062167,98.8194365138082,246637700
2008-06-05,101.02974700927734,101.10868815099525,99.26435194956325,99.45093512527853,237867100
2008-06-06,97.80754089355469,100.3264743486866,97.7573115873769,100.14706363309537,384276300
2008-06-09,98.04435729980469,98.67588647737517,97.17601563100554,98.21659551651308,228263900
2008-06-10,97.55638885498047,98.38885734329553,97.13298212312402,97.36262218348097,260234900
2008-06-11,96.1211166381836,97.78604290260098,96.11393319909426,97.57793122593549,283890100
2008-06-12,96.48709869384766,97.50615043488156,95.81969596324585,96.59475171354553,252791800
2008-06-13,97.70706176757812,97.9725970469089,96.4655428033039,97.00377489739712,244726900
2008-06-16,97.76449584960938,98.26684372370043,97.2119186632904,97.27650390059588,185832500
2008-06-17,97.29083251953125,98.40317001769485,97.14729520976626,98.36729664061289,191707700
2008-06-18,96.34357452392578,97.25498421680881,95.95605211495032,96.6593392017979,265893000
2008-06-19,96.46561431884766,97.05408710083131,95.8053837746694,96.27184755522279,304204900
2008-06-20,94.89976501464844,95.98882202846526,94.64012089812563,95.80851391991146,289275700
2008-06-23,94.80599212646484,95.36855249044712,94.71223940255615,95.26758039960755,165096400
2008-06-24,94.61847686767578,95.52001733481175,93.89724449396701,94.51750477556186,267300600
2008-06-25,95.0656509399414,96.21240793602209,94.65455415112167,95.00074265830685,287853900
2008-06-26,92.48363494873047,94.78436824909987,92.37545448215326,94.17132726327246,297775000
2008-06-27,91.97879028320312,92.93803093768288,91.62538785881455,92.51971471959229,303423400
2008-06-30,92.3033218383789,92.97406816770209,91.81288360293222,92.23840806324887,258842600
2008-07-01,92.59178924560547,92.65669749949167,90.82476713254059,91.2502914704117,388622000
2008-07-02,91.0051040649414,93.15437902892705,90.83921819251786,92.88751555857189,288064600
2008-07-03,91.09888458251953,91.67587284224885,90.14685780576363,91.67587284224885,239352500
2008-07-07,90.16848754882812,91.84174678105548,89.37513287452997,91.44507219519012,372427300
2008-07-08,91.76963806152344,91.87782405625539,89.57709021172438,90.14686464824895,375973700
2008-07-09,90.00260162353516,92.13023523340277,89.714107531714,91.95714097933693,336729400
2008-07-10,90.3704605102539,90.72386299644221,89.12993937212646,89.74298607339115,436475700
2008-07-11,89.31744384765625,90.80318676710858,88.34378092394508,89.41120760866966,481124600
2008-07-14,88.50965881347656,90.51468440840735,88.27886461915145,90.34159013830543,322720800
2008-07-15,87.26190185546875,89.06498275877041,86.5623055845771,87.84610380988352,502502500
2008-07-16,89.40398406982422,89.84393635486167,87.34125858663577,87.5936888725013,371642900
2008-07-17,90.29833984375,91.0628503152692,89.49777103557558,90.25506763873602,375490600
2008-07-18,90.8608627319336,91.17820125512517,90.2622385024593,90.99789315004737,267030100
2008-07-21,90.91131591796875,91.45224003766496,90.29105582051193,91.24308205107467,222863000
2008-07-22,91.9427490234375,92.17354327237098,90.04590345940188,90.26227547515093,296904200
2008-07-23,92.44036102294922,93.14716573660185,91.99320042933095,92.23841681904847,311698400
2008-07-24,90.5218734741211,92.61344838235377,90.26944325301301,92.56295683556603,248634500
2008-07-25,90.50025939941406,91.22870028573307,90.27667357555735,90.79596187248364,219131000
2008-07-28,89.17318725585938,90.91856861256832,89.01451522296449,90.52189403289849,205201300
2008-07-29,91.07723999023438,91.14936214033118,89.17318661432871,89.41840852773863,261505600
