month,baseline_auc,enhanced_auc,diff,n_test
2011-11,0.5545454545454546,0.6727272727272727,0.11818181818181817,21
2011-12,0.6634615384615384,0.8461538461538461,0.1826923076923077,21
2012-01,0.375,0.28125,-0.09375,20
2012-02,0.5,0.5595238095238095,0.059523809523809534,20
2012-03,0.6166666666666667,0.31666666666666665,-0.30000000000000004,22
2012-04,0.5050505050505051,0.5959595959595959,0.09090909090909083,20
2012-05,0.6380952380952382,0.3714285714285714,-0.2666666666666668,22
2012-06,0.33673469387755106,0.3877551020408163,0.05102040816326525,21
2012-07,0.611111111111111,0.6851851851851851,0.07407407407407407,21
2012-08,0.34821428571428575,0.3392857142857143,-0.008928571428571452,23
2012-09,0.26666666666666666,0.4222222222222223,0.1555555555555556,19
2012-10,0.43636363636363634,0.3818181818181818,-0.054545454545454564,21
2012-11,0.21296296296296297,0.4907407407407407,0.27777777777777773,21
2012-12,0.40404040404040403,0.3939393939393939,-0.01010101010101011,20
2013-01,0.33333333333333337,0.537037037037037,0.2037037037037036,21
2013-02,0.2727272727272727,0.45454545454545453,0.18181818181818182,19
2013-03,0.6145833333333334,0.65625,0.04166666666666663,20
2013-04,0.5178571428571429,0.6964285714285714,0.1785714285714285,22
2013-05,0.6071428571428571,0.4017857142857143,-0.2053571428571428,22
2013-06,0.41999999999999993,0.4,-0.019999999999999907,20
2013-07,0.6979166666666666,0.53125,-0.16666666666666663,22
2013-08,0.45299145299145294,0.4188034188034188,-0.03418803418803412,22
2013-09,0.43749999999999994,0.5208333333333334,0.08333333333333343,20
2013-10,0.5833333333333334,0.39166666666666666,-0.1916666666666667,23
2013-11,0.4848484848484848,0.26262626262626265,-0.22222222222222215,20
2013-12,0.4351851851851852,0.5833333333333334,0.1481481481481482,21
2014-01,0.5545454545454546,0.2909090909090909,-0.26363636363636367,21
2014-02,0.45714285714285713,0.5142857142857142,0.057142857142857106,19
2014-03,0.4629629629629629,0.5277777777777778,0.06481481481481488,21
2014-04,0.5102040816326532,0.836734693877551,0.32653061224489777,21
2014-05,0.4489795918367347,0.5714285714285715,0.12244897959183682,21
2014-06,0.4693877551020408,0.46938775510204084,5.551115123125783e-17,21
2014-07,0.48333333333333334,0.3333333333333333,-0.15000000000000002,22
2014-08,0.4903846153846154,0.5673076923076923,0.07692307692307687,21
2014-09,0.4711538461538462,0.21153846153846154,-0.2596153846153847,21
2014-10,0.37692307692307697,0.4769230769230769,0.09999999999999992,23
