Date,return_1d,return_5d,return_10d,price_to_ma10,price_to_ma20,price_to_ma50,price_to_ma100,price_to_ma200,volatility_5d,volatility_10d,volatility_20d,volume_change,volume_to_avg20,vix_level,vix_change_1d,vix_change_5d,vix_to_ma20,target
2008-10-15,-0.10363720215346374,-0.07992302654289624,-0.25407536028990946,-0.09515816516134934,-0.1749720757972535,-0.24543972506685097,-0.2761596081852109,-0.30492660334141286,0.09207462420983738,0.06303996813091184,0.05181023833945881,-0.1128397895319937,1.0206638584628904,69.25,0.2561218693690748,0.20371982390725774,0.48875107148561314,1
2008-10-16,0.04081320856454923,0.033287809838500534,-0.17631374107398143,-0.04001873941977574,-0.13039846955990597,-0.209445172818556,-0.24336539487895348,-0.27460205251460723,0.08858776658058405,0.0661762348436039,0.05236441358799941,0.4625897209712615,1.5034680342409859,67.61000061035156,-0.023682301655573057,0.05772845036154872,0.4015049625640572,0
2008-10-17,-0.005990062776924042,0.05185228919947369,-0.16871168705161063,-0.028718480686636627,-0.12302248509998415,-0.2097601398845068,-0.24516770482018313,-0.2775539936745448,0.08733270942369983,0.06627138810312772,0.05100658971569394,-0.3275374316884383,1.013653234870072,70.33000183105469,0.040230752790241464,0.005432521792583911,0.40228101387996773,1
2008-10-20,0.058343574761281373,-0.025381207340439617,-0.05809161050456873,0.036015550376272465,-0.060388910988384836,-0.15802656040589547,-0.19723770094678617,-0.23295213120767133,0.06312632144416278,0.06888566357917186,0.053463260406644494,-0.3259312408082258,0.6781288051775277,52.970001220703125,-0.2468363452066077,-0.036733958830822755,0.03639211859064573,0
2008-10-21,-0.03030973649677923,-0.04078021810133649,-0.042580931138004985,0.00949900681271676,-0.07849959681931518,-0.1783892640533793,-0.21847472587905548,-0.25460449006078334,0.06409429795300378,0.0680542523683565,0.05357964082963515,0.109581187584463,0.7501407373962018,53.11000061035156,0.0026429938912992945,-0.0366406751066064,0.021748970316302296,0
2008-10-22,-0.055993229061573224,0.006863754990554101,-0.07305927155234218,-0.038516604648486275,-0.1166682477721569,-0.21804062048157946,-0.2582035512412423,-0.29392891058089987,0.04782800215893939,0.06977281498667787,0.05440445566234328,0.44786845515593177,1.0632460512544384,69.6500015258789,0.31142912305490666,0.005776195319550981,0.29696012900662905,1
2008-10-23,0.011517867251699,-0.02243158632229604,0.010856223516204503,-0.028398710112658154,-0.09358259607983643,-0.2040185635951015,-0.24684132482385956,-0.2844536912449743,0.043375688606302136,0.06601972441801862,0.054299073865881314,0.2295733172145502,1.2673431472993288,67.80000305175781,-0.02656135583046204,0.0028102712570772237,0.22269014652382024,0
2008-10-24,-0.05204545706272465,-0.06848698060809677,-0.016634691408623007,-0.07624363690741431,-0.12492691809775291,-0.23886829753682182,-0.2821181449370913,-0.31935976558670887,0.048376626865419575,0.06775556937700859,0.054840236690687084,-0.14000079411798072,1.0623474771961128,79.12999725341797,0.16710905149976107,0.12512434513370918,0.3720933765207959,0
2008-10-27,-0.03614664971560449,-0.1629772050849826,-0.1883584124254223,-0.09227545180659191,-0.1441926054984206,-0.26000453649298927,-0.30442996661126365,-0.34213385427038323,0.026877402703487693,0.04798445905841746,0.052903921589457906,-0.2721153743977328,0.7779812342917767,80.05999755859375,0.011752816093211882,0.511421478451894,0.34921968505552536,1
2008-10-28,0.1105170217018799,-0.022150446886323557,-0.06293066498766005,0.020517045405893386,-0.03323256876999525,-0.16856442681802541,-0.22049625352554392,-0.2639516672773621,0.06964031964261279,0.06312784157530142,0.05870539578199087,0.6107673363897177,1.2160248077311526,66.95999908447266,-0.16362726547091833,0.26077948248830585,0.10283035408585328,0
2008-10-29,-0.007279350572958839,0.02656343160229097,0.03342718659284493,0.009752252613039358,-0.028737475191164985,-0.16970894518146562,-0.22343329493964836,-0.2680565633797337,0.06378449851546651,0.05319014935054646,0.05865238894588222,-0.1698119900396834,0.99084345152932,69.95999908447266,0.04480286799609101,0.004450790406351546,0.12432500843170469,1
2008-10-30,0.0340096011631749,0.049055165513766534,0.02662357919147059,0.041824748863219074,0.013082016786542638,-0.13627857239875463,-0.19400059383808232,-0.2415858934663584,0.06511083250064842,0.05269884992715223,0.05914626979086815,-0.21963968986773397,0.7696804186425389,62.900001525878906,-0.10091477488542,-0.07227140568324597,-0.0032643238501832705,1
2008-10-31,0.005487924212881607,0.10658854678937288,0.03810156618127612,0.04347139745973738,0.025947736233093988,-0.12678963231143703,-0.18713796242998015,-0.236374274524507,0.055875146394418804,0.05261438763435687,0.05919642685292584,-0.007689912323759263,0.7673519333773619,59.88999938964844,-0.04785376889048354,-0.24314417454296666,-0.06192487191731255,1
